MUNICIPIO,UNIDADE_CONSUMIDORA,JAN_2021,FEV_2021,MAR_2021,ABR_2021,MAI_2021,JUN_2021,JUL_2021,AGO_2021,SET_2021,OUT_2021,NOV_2021,DEZ_2021,JAN_2022,FEV_2022,MAR_2022,ABR_2022,MAI_2022,JUN_2022,JUL_2022,AGO_2022,SET_2022,OUT_2022,NOV_2022,DEZ_2022,QTD_FALTANTES,FALTANTES
COREMAS,26602-3,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,458466-0,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,458517-0,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,459092-3,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,459282-0,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,459441-2,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,747853-0,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,867566-2,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,880676-2,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,885086-9,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,886283-1,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
COREMAS,888197-1,OK,,,,,,,,,,,,,,,,,,,,,,,,23,"FEV_2021, MAR_2021, ABR_2021, MAI_2021, JUN_2021, JUL_2021, AGO_2021, SET_2021, OUT_2021, NOV_2021, DEZ_2021, JAN_2022, FEV_2022, MAR_2022, ABR_2022, MAI_2022, JUN_2022, JUL_2022, AGO_2022, SET_2022, OUT_2022, NOV_2022, DEZ_2022"
